2021-11-07 14:48:34.666273	DEVICE C - Living Room motion stopped
2021-11-07 14:48:59.326880	DEVICE C - Living Room motion detected
2021-11-07 14:49:04.516904	DEVICE C - Living Room motion stopped
2021-11-07 14:49:08.168413	DEVICE C - Living Room motion detected
2021-11-07 14:49:14.936972	DEVICE C - Living Room motion stopped
2021-11-07 14:50:35.308205	DEVICE C - Living Room motion detected
2021-11-07 14:50:36.868157	DEVICE C - Living Room motion stopped
2021-11-07 14:50:40.497722	DEVICE C - Living Room motion detected
2021-11-07 14:50:44.148384	DEVICE C - Living Room motion stopped
2021-11-07 14:52:05.724652	DEVICE C - Living Room motion detected
2021-11-07 14:52:11.440245	DEVICE C - Living Room motion stopped
2021-11-07 14:52:15.491946	DEVICE C - Living Room motion detected
2021-11-07 14:52:18.254258	DEVICE C - Living Room motion stopped
2021-11-07 14:52:22.399845	DEVICE C - Living Room motion detected
2021-11-07 14:52:24.640152	DEVICE C - Living Room motion stopped
2021-11-07 15:10:26.716596	DEVICE C - Living Room motion detected
2021-11-07 15:10:34.386587	DEVICE C - Living Room motion stopped
2021-11-07 16:06:51.047327	DEVICE C - Living Room motion detected
2021-11-07 16:06:57.226449	DEVICE C - Living Room motion stopped
2021-11-07 16:07:06.291440	DEVICE C - Living Room motion detected
2021-11-07 16:07:08.226587	DEVICE C - Living Room motion stopped
2021-11-07 16:07:12.581585	DEVICE C - Living Room motion detected
2021-11-07 16:07:16.931718	DEVICE C - Living Room motion stopped
2021-11-07 16:07:26.477125	DEVICE C - Living Room motion detected
2021-11-07 16:07:32.337121	DEVICE C - Living Room motion stopped
2021-11-07 16:07:37.461711	DEVICE C - Living Room motion detected
2021-11-07 16:07:38.807613	DEVICE C - Living Room motion stopped
2021-11-07 16:07:45.367410	DEVICE C - Living Room motion detected
2021-11-07 16:07:54.856710	DEVICE C - Living Room motion stopped
2021-11-07 16:07:59.006940	DEVICE C - Living Room motion detected
2021-11-07 16:08:03.947704	DEVICE C - Living Room motion stopped
2021-11-07 16:08:08.097697	DEVICE C - Living Room motion detected
2021-11-07 16:08:10.052540	DEVICE C - Living Room motion stopped
2021-11-07 16:08:13.597791	DEVICE C - Living Room motion detected
2021-11-07 16:08:20.135664	DEVICE C - Living Room motion stopped
2021-11-07 16:08:23.964908	DEVICE C - Living Room motion detected
2021-11-07 16:08:26.321203	DEVICE C - Living Room motion stopped
2021-11-07 16:08:30.557251	DEVICE C - Living Room motion detected
2021-11-07 16:08:32.012160	DEVICE C - Living Room motion stopped
2021-11-07 16:08:37.905598	DEVICE C - Living Room motion detected
2021-11-07 16:08:46.992406	DEVICE C - Living Room motion stopped
2021-11-07 16:08:51.069040	DEVICE C - Living Room motion detected
2021-11-07 16:08:53.608529	DEVICE C - Living Room motion stopped
2021-11-07 16:08:57.467759	DEVICE C - Living Room motion detected
2021-11-07 16:09:09.452825	DEVICE C - Living Room motion stopped
2021-11-07 16:10:05.019664	DEVICE C - Living Room motion detected
2021-11-07 16:10:23.603804	DEVICE C - Living Room motion stopped
2021-11-07 16:10:33.939847	DEVICE C - Living Room motion detected
2021-11-07 16:10:35.792432	DEVICE C - Living Room motion stopped
2021-11-07 16:10:41.754906	DEVICE C - Living Room motion detected
2021-11-07 16:10:45.790340	DEVICE C - Living Room motion stopped
2021-11-07 16:10:49.451160	DEVICE C - Living Room motion detected
2021-11-07 16:10:53.800111	DEVICE C - Living Room motion stopped
2021-11-07 16:10:57.460038	DEVICE C - Living Room motion detected
2021-11-07 16:11:01.710462	DEVICE C - Living Room motion stopped
2021-11-07 16:11:05.760194	DEVICE C - Living Room motion detected
2021-11-07 16:11:07.300390	DEVICE C - Living Room motion stopped
2021-11-07 16:11:11.059307	DEVICE C - Living Room motion detected
2021-11-07 16:11:14.600342	DEVICE C - Living Room motion stopped
2021-11-07 16:11:18.665015	DEVICE C - Living Room motion detected
2021-11-07 16:11:23.280448	DEVICE C - Living Room motion stopped
2021-11-07 16:11:27.845517	DEVICE C - Living Room motion detected
2021-11-07 16:11:29.390610	DEVICE C - Living Room motion stopped
2021-11-07 16:11:34.242613	DEVICE C - Living Room motion detected
2021-11-07 16:11:55.902943	DEVICE C - Living Room motion stopped
2021-11-07 16:11:59.651111	DEVICE C - Living Room motion detected
2021-11-07 16:12:02.416360	DEVICE C - Living Room motion stopped
2021-11-07 16:12:10.465937	DEVICE C - Living Room motion detected
2021-11-07 16:12:12.601063	DEVICE C - Living Room motion stopped
2021-11-07 16:12:17.659550	DEVICE C - Living Room motion detected
2021-11-07 16:12:19.211330	DEVICE C - Living Room motion stopped
2021-11-07 16:12:24.191483	DEVICE C - Living Room motion detected
2021-11-07 16:12:26.141220	DEVICE C - Living Room motion stopped
2021-11-07 16:30:19.868190	DEVICE C - Living Room motion detected
2021-11-07 16:30:27.218022	DEVICE C - Living Room motion stopped
2021-11-07 16:30:31.067337	DEVICE C - Living Room motion detected
2021-11-07 16:30:32.622059	DEVICE C - Living Room motion stopped
2021-11-07 16:30:36.471876	DEVICE C - Living Room motion detected
2021-11-07 16:30:39.208723	DEVICE C - Living Room motion stopped
2021-11-07 16:30:44.172310	DEVICE C - Living Room motion detected
2021-11-07 16:30:56.462676	DEVICE C - Living Room motion stopped
2021-11-07 16:31:00.108190	DEVICE C - Living Room motion detected
2021-11-07 16:31:08.663078	DEVICE C - Living Room motion stopped
2021-11-07 18:06:07.303606	DEVICE C - Living Room motion detected
2021-11-07 18:06:12.157063	DEVICE C - Living Room motion stopped
2021-11-07 18:06:16.083928	DEVICE C - Living Room motion detected
2021-11-07 18:06:17.723036	DEVICE C - Living Room motion stopped
2021-11-07 18:06:22.182906	DEVICE C - Living Room motion detected
2021-11-07 18:06:24.838148	DEVICE C - Living Room motion stopped
2021-11-07 18:06:29.898223	DEVICE C - Living Room motion detected
2021-11-07 18:06:39.039880	DEVICE C - Living Room motion stopped
2021-11-07 18:06:43.574164	DEVICE C - Living Room motion detected
2021-11-07 18:06:56.636627	DEVICE C - Living Room motion stopped
2021-11-07 18:07:00.543626	DEVICE C - Living Room motion detected
2021-11-07 18:07:08.703795	DEVICE C - Living Room motion stopped
2021-11-07 18:07:12.968872	DEVICE C - Living Room motion detected
2021-11-07 18:07:19.414231	DEVICE C - Living Room motion stopped
2021-11-07 18:07:23.264241	DEVICE C - Living Room motion detected
2021-11-07 18:07:27.414307	DEVICE C - Living Room motion stopped
2021-11-07 18:07:32.565974	DEVICE C - Living Room motion detected
2021-11-07 18:07:35.618769	DEVICE C - Living Room motion stopped
2021-11-07 18:07:39.254803	DEVICE C - Living Room motion detected
2021-11-07 18:07:41.218895	DEVICE C - Living Room motion stopped
